,title,company,salary,summary
128,Seasonal Package Sorter - Earn up to $18.00/hr!,Amazon Workforce Staffing,Up to $18 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
129,Ice Cream Server,Dino's ice cream & Italian water ice,$10 - $11 an hour,"Greet customers, scoop their ice cream or Italian ice order, serve to customer, take payments.A job for which all ages, including older job seekers, are…"
130,Amazon Order Filler (Day Shifts Available) - Earn up to $18/...,Amazon,Up to $18 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
131,Estate Research Associate (Part-Time),"Phillips & Cohen Associates, Ltd.",$14 an hour,"The incumbent will be primarily responsible to maintain a queue of accounts with regular review, phone calls/web searches, and miscellaneous research and follow…"
132,Order Picker/Packer,Amazon,$17 - $18 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
133,Warehouse Associates – All Shifts Available!,"MLP Ventures Group, LLC",,"Ability to meet and exceed production quotas.Able to consistently lift and move 50+lbs.Receive, pick, pack and ship product according to customer orders."
134,Delivery Driver FEDEX GROUND,BBC DELIVERY INC,"Up to $1,600 a week",Able to show at least one year's commercial driving experience within the last three years; UBER AND LYFT APPLY.Have a clean driving record.
135,Amazon Delivery Driver - $16 per hr (Immediate Positions),Advance Shipping LLC (Amazon Delivery Service Partner),From $16 an hour,Must be comfortable driving and working in varying weather conditions.No CDL is required but driving experience is preferred for this position.
136,Crew Member,Connie’s Chicken and Waffles,$9.50 - $12.00 an hour,"The first round of interviews will be conducted virtually.Applicants must have the ability to attend a virtual meeting.Job Types: Full-time, Part-time."
137,2500-T4030-HOUSEKEEPER,St. Francis Medical Center,,Employment Type: Full time Shift: Day Shift Description: To be added Trinity Health's Commitment to Diversity and Inclusion Trinity Health employs about…
138,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
139,Crew - New Store!,Trader Joe's,$12 - $18 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
140,Warehousing Worker - Earn $17/hr or more,Amazon,From $17 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
141,Seasonal Package Sorter - Earn up to $18.00/hr!,Amazon Workforce Staffing,Up to $18 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
142,COVID-19 Vaccine Registered Nurse (Immunization) in Wilmingt...,Curative Inc.,$60 an hour,"Understand and comply with applicable federal, state and local laws and company policies.Protective equipment when necessary to prevent exposure to potentially…"
143,"Vaccination Scheduler - FT, Remote",AAA Club Alliance,$15.50 an hour,"Perform scheduling functions for COVID-19 vaccinations based on state requirements.Good judgement and the ability to exhibit a professional, positive demeanor…"
144,Ice Cream Server,Dino's ice cream & Italian water ice,$10 - $11 an hour,"Greet customers, scoop their ice cream or Italian ice order, serve to customer, take payments.A job for which all ages, including older job seekers, are…"
145,Amazon Order Filler (Day Shifts Available) - Earn up to $18/...,Amazon,Up to $18 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
146,Order Picker/Packer,Amazon,$17 - $18 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
147,Warehouse Associates – All Shifts Available!,"MLP Ventures Group, LLC",,"Ability to meet and exceed production quotas.Able to consistently lift and move 50+lbs.Receive, pick, pack and ship product according to customer orders."
148,Eyecare Office Staff,POV LLC,$16 - $25 an hour,"Administrative duties include entering data in the office's computer system, preparing the medical record, phone calls, copying, faxing, keeping inventory…"
149,Warehouse Person (Loader) FT/Nights,PepsiCo,$19.52 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
150,2500-T4030-HOUSEKEEPER,St. Francis Medical Center,,Employment Type: Full time Shift: Day Shift Description: To be added Trinity Health's Commitment to Diversity and Inclusion Trinity Health employs about…
151,,Reading Assist,$15 - $30 an hour,"U.S. citizen or permanent resident alien.Reading Assist Summer Tutors serve in public schools throughout Delaware (New Castle, Kent, and Sussex Counties) for 6…"
152,Legal Administrative Assistant,Confidential,,"Responsible for office administrative duties including answering the phone, opening files, calendaring dates, and various office duties."
153,Crew - New Store!,Trader Joe's,$12 - $18 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
154,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
155,"Vaccination Scheduler - FT, Remote",AAA Club Alliance,$15.50 an hour,"Perform scheduling functions for COVID-19 vaccinations based on state requirements.Good judgement and the ability to exhibit a professional, positive demeanor…"
156,COVID-19 Vaccine Registered Nurse (Immunization) in Wilmingt...,Curative Inc.,$60 an hour,"Understand and comply with applicable federal, state and local laws and company policies.Protective equipment when necessary to prevent exposure to potentially…"
157,Warehousing Worker - Earn $17/hr or more,Amazon,From $17 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
158,Seasonal Package Sorter - Earn up to $18.00/hr!,Amazon Workforce Staffing,Up to $18 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
